Title,Authors,Avg_rating,pages_number,ratings_count
A Walk to Remember,Nicholas Sparks,4.16,240,555926
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.06,333,277646
Judge & Jury,James Patterson-Andrew Gross,3.99,419,40897
Factfulness : ten reasons we're wrong about the world-- and why things are better than you think ,"Hans Rosling, Ola Rosling, Anna Rosling Rönnlund",4.36,342,59967
The Complete I Ching: The Definitive Translation,Anonymous-Alfred Huang,4.27,539,319
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,4.34,353,149582
The Paradox of Choice : Why More is Less ,Barry Schwartz,4.03,265,26736
The Giver,Lois Lowry,4.12,208,1464909
Brave New World,Aldous Huxley,3.98,288,1301223
In the Shadow of Young Girls in Flower (In Search of Lost Time  #2),Marcel Proust-James Grieve-Christopher Prendergast,4.41,576,5077
The future of capitalism : facing the new anxieties ,Paul Collier,3.87,289,1039
The Hunchback of Notre-Dame,Victor Hugo-Catherine Liu-Elizabeth McCracken,3.99,534,140
"Thinking, Fast and Slow",Daniel Kahneman,4.14,499,239046
One Hundred Years of Solitude,Gabriel García Márquez,4.06,417,680963
Mindset: The New Psychology of Success,Carol S. Dweck,4.07,276,65717
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,4.14,268,612
Gone with the Wind,Margaret Mitchell,4.29,1037,964231
Nine Horses,Billy Collins,4.17,144,4048
Hard-boiled Wonderland und das Ende der Welt,Haruki Murakami,4.15,542,61
Katherine,Anya Seton-Philippa Gregory,4.19,500,24884
The Help, Kathryn Stockett,4.47,451,9594
Fear and Trembling and The Sickness Unto Death,Søren Kierkegaard-Walter Lowrie,4.1,420,495
Outliers : the story of success ,Malcolm Gladwell,4.14,309,463285
The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,Robert M. Sapolsky,4.11,288,1043
Star Wars:  The New Essential Guide to Weapons & Technology,W. Haden Blackman,4.08,224,205
Darwin's Watch (The Science of Discworld  #3),Terry Pratchett-Ian Stewart-Jack Cohen,3.94,344,3481
Frankenstein: The 1818 Text," Mary Wollstonecraft Shelley, Charlotte Gordon",3.83,260,1298354
Liar's Poker,Michael   Lewis,4.15,256,22710
1st to Die (Women's Murder Club  #1),James Patterson,4.07,424,259028
The Moral Landscape: How Science can determine Human Values ,Sam Harris,3.91,291,19262
It Doesn't Take a Hero: The Autobiography of General H. Norman Schwarzkopf,Norman Schwarzkopf-Peter Petre,4.04,640,2483
Hidden Talents (Talents  #1),David Lubar,3.93,240,2333
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","by Ed Catmull, Amy Wallace",4.19,368,79319
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"by Steven D. Levitt, Stephen J. Dubner",3.96,320,640517
Mulliner Nights,P.G. Wodehouse,4.11,240,1144
Nineteen Eighty-Four,George Orwell,4.17,328,2719979
The Handmaid's Tale,Margaret Atwood,4.09,368,1179
The Norton Anthology of Western Literature  Volume 1,Sarah N. Lawall-Heather James-William G. Thalmann-Patricia Meyer Spacks-Lee Patterson,3.95,2704,180
The Stories of Ray Bradbury Volume 2,Ray Bradbury,4.31,685,19
The Importance of Being Earnest,Oscar Wilde,4.18,76,296364
Siddhartha,"Hermann Hesse, Hilda Rosner ",4.03,152,562070
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,389,234687
The Story of Philosophy: A Concise Introduction to the World's Greatest Thinkers and Their Ideas,Bryan Magee,4.13,240,498
My Secret: A PostSecret Book,Frank Warren,4.34,144,5801
America Alone: The End of the World As We Know It,Mark Steyn,4.14,224,3038
Jane Austen's Letters,Jane Austen-Deirdre Le Faye,4.15,672,2211
The Theban Plays: Antigone  King Oidipous & Oidipous at Colonus (Focus Classical Library),Sophocles-Ruby Blondell,3.97,248,54
The Inner Reaches of Outer Space: Metaphor as Myth and as Religion (Collected Worksl),Joseph Campbell,4.22,160,943
The Quilter's Homecoming (Elm Creek Quilts  #10),Jennifer Chiaverini,4.03,320,3771
East of Eden,John Steinbeck,4.37,601,3791
Deep Waters (Cetin Ikmen  #4),Barbara Nadel,3.98,448,293
Foundation,Isaac Asimov,4.17,244,394189
Morgoth's Ring (The History of Middle-Earth  #10),J.R.R. Tolkien-Christopher Tolkien,4.12,478,1573
"Rich Dad, Poor Dad","Robert T. Kiyosaki, Sharon Lechter",4.07,195,342123
The Big Box,Toni Morrison-Slade Morrison,3.95,48,375
The Mysterious Affair at Styles,Agatha Christie,3.99,196,78
Essay on the Freedom of the Will,Arthur Schopenhauer-Konstantin Kolenda,4.15,128,357
Sweet Revenge,Lynsay Sands,3.98,400,1699
The Glass Castle,Jeannette Walls,4.27,288,875787
"Improv Wisdom: Don't Prepare, Just Show Up", Patricia Ryan Madson,3.99,160,2027
The Portable Thoreau,Henry David Thoreau-Carl Bode,4.17,698,654
The Hero With a Thousand Faces,Joseph Campbell,4.12,416,38296
Poirot Investigates,Agatha Christie,4.05,245,651
The Walking Dead  Book One (The Walking Dead #1-12),Robert Kirkman-Tony Moore-Charlie Adlard-Cliff Rathburn,4.35,304,33914
Juniper,Monica Furlong,4.16,198,111
The Mysterious Affair at Styles (Hercule Poirot  #1),Agatha Christie,3.99,121,180757
The Book of Leviathan,Peter Blegvad,4.17,160,610
We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),Harold G. Moore-Joseph L. Galloway,4.31,535,164
On Writing: A Memoir of the Craft,Stephen King,4.33,320,213789
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.13,400,96287
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.92,296,410968
The Gift,Vladimir Nabokov-Michael Scammell-Dmitri Nabokov,4.0,406,2234
The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,4.02,197,1592632
The Chomsky Reader,Noam Chomsky,3.97,492,1564
A Thousand Splendid Suns,Khaled Hosseini ,4.37,372,1115588
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.85,489,1882675
Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,4.24,272,1057
A Rose for the Crown,Anne Easter Smith,4.02,672,4568
The Giving Tree,Shel Silverstein,4.37,51,150
Fahrenheit 451,Ray Bradbury,3.99,194,1617430
A Game of You (The Sandman  #5),Neil Gaiman-Shawn McManus-Colleen Doran-Bryan Talbot-George Pratt-Stan Woch-Dick Giordano-Todd Klein,4.43,192,41378
Watership Down,Richard  Adams,4.06,476,5872
From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,383,45082
Three Classic Mysteries Starring Miss Marple: A Murder is Announced /The Body in the Library / Murder With Mirrors,Agatha Christie,4.24,628,119
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.43,498," 441,322"
For One More Day,Mitch Albom ,4.11,197,122220
Dispatches,Michael Herr,4.23,260,12590
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams-Sandy Petersen,3.98,260,96
The Will to Believe  Human Immortality and Other Essays in Popular Philosophy,William  James,4.06,448,429
Just Visiting This Planet,Neil deGrasse Tyson-Stephen Tyson,4.19,352,82
World of Warcraft Atlas,Brady Games,4.08,192,236
The Hound of the Baskervilles,Arthur Conan Doyle-Pam Smy,4.1,272,61
Star Wars:  The New Essential Guide to Vehicles & Vessels,W. Haden Blackman-Ian Fullwood,4.1,200,203
Number the Stars,Lois Lowry ,4.14,240,403329
The Namesake,Jhumpa Lahiri,3.98,291,221471
The Alienist (Dr. Laszlo Kreizler  #1),Caleb Carr,4.06,498,119839
The Smoke Jumper,Nicholas Evans,4.06,576,28164
Public Secrets,Nora Roberts,4.02,481,10769
A Murder Is Announced (Miss Marple  #5),Agatha Christie,3.98,382,680
From Beirut to Jerusalem,Thomas L. Friedman,4.11,541,8796
